county_name,farming_households,number_of_households,pct_households_farming
Mombasa,12497,378422,3.3
Kwale,108074,173176,62.4
Kilifi,161188,298472,54.0
"Tana River",35094,68242,51.4
Lamu,18678,37963,49.2
"Taita Taveta",56920,96429,59.0
Garissa,47645,141394,33.7
Wajir,63433,127932,49.6
Mandera,62639,125763,49.8
Marsabit,39167,77495,50.5
Isiolo,24271,58072,41.8
Meru,274865,426360,64.5
Tharakaâ€‘Nithi,85767,109860,78.1
Embu,130990,182743,71.7
Kitui,215322,262942,81.9
Machakos,231341,402466,57.5
Makueni,193531,244669,79.1
Nyandarua,140854,179686,78.4
Nyeri,164229,248050,66.2
Kirinyaga,139866,204188,68.5
Murang'a,231400,318105,72.7
Kiambu,214052,795241,26.9
Turkana,61209,164519,37.2
"West Pokot",89828,116182,77.3
Samburu,43149,65910,65.5
"Trans Nzoia",140249,223808,62.7
"Uasin Gishu",141547,304943,46.4
Elgeyo/Marakwet,74881,99861,75.0
Nandi,148887,199426,74.7
Baringo,100465,142518,70.5
Laikipia,90729,149271,60.8
Nakuru,283652,616046,46.0
Narok,181706,241125,75.4
Kajiado,97565,316179,30.9
Kericho,150845,206036,73.2
Bomet,152564,187641,81.3
Kakamega,335269,433207,77.4
Vihiga,113753,143365,79.3
Bungoma,280445,358796,78.2
Busia,148257,198152,74.8
Siaya,194362,250698,77.5
Kisumu,147117,300745,48.9
"Homa Bay",193812,262036,74.0
Migori,169958,240168,70.8
Kisii,219853,308054,71.4
Nyamira,110028,150669,73.0
Nairobi,32258,1506888,2.1
