county_name,population_total,number_of_households,avg_household_size
Mombasa,1190987,378422,3.10
Kwale,858748,173176,5.00
Kilifi,1440958,298472,4.80
"Tana River",314710,68242,4.60
Lamu,141909,37963,3.70
"Taita Taveta",335747,96429,3.50
Garissa,835482,141394,5.90
Wajir,775302,127932,6.10
Mandera,862079,125763,6.90
Marsabit,447150,77495,5.80
Isiolo,267997,58072,4.60
Meru,1535635,426360,3.60
Tharakaâ€‘Nithi,391303,109860,3.60
Embu,604769,182743,3.30
Kitui,1130134,262942,4.30
Machakos,1414022,402466,3.50
Makueni,977015,244669,4.00
Nyandarua,636002,179686,3.50
Nyeri,752695,248050,3.00
Kirinyaga,605630,204188,3.00
Murang'a,1053059,318105,3.30
Kiambu,2402834,795241,3.00
Turkana,922210,164519,5.60
"West Pokot",618867,116182,5.30
Samburu,307957,65910,4.70
"Trans Nzoia",985333,223808,4.40
"Uasin Gishu",1152671,304943,3.80
Elgeyo/Marakwet,453403,99861,4.50
Nandi,883634,199426,4.40
Baringo,662760,142518,4.70
Laikipia,513879,149271,3.40
Nakuru,2142667,616046,3.50
Narok,1149379,241125,4.80
Kajiado,1107296,316179,3.50
Kericho,896863,206036,4.40
Bomet,873023,187641,4.70
Kakamega,1861332,433207,4.30
Vihiga,587189,143365,4.10
Bungoma,1663898,358796,4.60
Busia,886856,198152,4.50
Siaya,989708,250698,3.90
Kisumu,1144777,300745,3.80
"Homa Bay",1125823,262036,4.30
Migori,1108950,240168,4.60
Kisii,1260509,308054,4.10
Nyamira,603051,150669,4.00
Nairobi,4337080,1506888,2.90
